Name,Org,Pos,Age,PA,AB,Pitches,xwOBA,wOBA,PS Score,Agg,Power,Discipline,xBA,xSLG,Barrels,BB%,Chase%,EV,Max EV,50th% EV,90th% EV,Hard Hit%,K%,L°,Whiff%,Swing%,Z-Swing%,Z-Contact%,SwStr%,Speed,wBsR/PA,Pull,Pull Air,Spd,wBsR,wBsR/PA,xBA,xSLG,Barrels,BB%,Chase%,EV,Max EV,50th% EV,90th% EV,Hard Hit%,K%,L°,Whiff%,Swing%,Z-Swing%,Z-Contact%,SwStr%,PullAir%,BA,OBP,SLG,BABIP,PA/Barrels,Barrels,BB,2B,3B,Hits,HR,K,Swings,Whiffs
Henry Bolte,ATH,OF,22,177,158,606,0.8283132530120482,0.9728915662650602,0.9698795180722891,0.661144578313253,0.7975903614457831,0.5423838209982789,0.9021084337349398,0.8825301204819277,0.7545180722891566,0.34789156626506024,0.6942771084337349,0.7349397590361446,0.9382530120481928,0.8328313253012049,0.9819277108433735,0.677710843373494,0.5692771084337349,0.08132530120481928,0.47740963855421686,0.8018181818181818,0.9698795180722891,0.39457831325301207,0.3433734939759036,0.9819277108433735,0.9518072289156626,0.401840490797546,0.1334355828220859,9.3426,2.03867,0.011517909604519774,.281,.465,9.4,9.6,24,90.4,113.3,94,109.4,43.6,22,3.4,27.5,50.33003300330034,76.14379084967321,79.39914163090128,13.861386138613865,8.4,.348,.418,.658,.402,6.214689265536723,11,17,7,3,55,12,39,305,84
Esmerlyn Valdez,PIT,OF,22,169,136,701,0.9397590361445783,0.6204819277108434,0.9668674698795181,0.5958207831325302,0.8274096385542169,0.46880378657487093,0.8478915662650602,0.9201807228915663,0.8599397590361446,0.9066265060240963,0.6024096385542169,0.6340361445783133,0.9623493975903614,0.6852409638554217,0.9563253012048193,0.7605421686746988,0.5481927710843374,0.27259036144578314,0.25150602409638556,0.25636363636363635,0.28012048192771083,0.286144578313253,0.4066265060240964,0.05421686746987952,0.3102409638554217,0.5368098159509203,0.35429447852760737,1.00091,"'-0.366642","'-0.0021694792899408285",.270,.488,13,17.8,25.066666666666666,89.5,114,92,108.4,46,22.5,8.6,31.7,41.36947218259629,60.122699386503065,77.55102040816327,13.12410841654779,13,.243,.379,.426,.295,7.6923076923076925,13,30,10,0,33,5,38,290,92
Luis Lara,MIL,OF,21,166,142,649,0.5195783132530121,0.9487951807228916,0.963855421686747,0.6382718373493976,0.5237951807228916,0.7687177280550774,0.5150602409638554,0.4894578313253012,0.43373493975903615,0.6566265060240963,0.7289156626506024,0.4623493975903614,0.5301204819277109,0.697289156626506,0.4307228915662651,0.7033132530120482,0.9412650602409639,0.32228915662650603,0.9668674698795181,0.15272727272727274,0.15963855421686746,0.9518072289156626,0.9759036144578314,0.8554216867469879,0.7771084337349398,0.31901840490797545,0.4263803680981595,7.139419999999999,0.6489550000000001,0.003909367469879518,.235,.358,5.7,13.3,23.30383480825959,88.4,109,92.1,102.8,44.3,12,9.3,13.7,39.291217257318955,56.774193548387096,91.47727272727272,5.392912172573189,14.5,.352,.446,.542,.374,4.216867469879518,7,22,4,1,50,7,20,255,35
Edwin Arroyo,CIN,SS,22,185,160,632,0.8554216867469879,0.9141566265060241,0.9608433734939759,0.7019013554216867,0.7051204819277109,0.628012048192771,0.9231927710843374,0.9036144578313253,0.7259036144578314,0.3102409638554217,0.14156626506024098,0.7078313253012049,0.5481927710843374,0.7530120481927711,0.5271084337349398,0.6400602409638554,0.8614457831325302,0.6325301204819277,0.8358433734939759,0.84,0.7439759036144579,0.8162650602409639,0.6867469879518072,0.8975903614457831,0.7409638554216867,0.6380368098159509,0.9141104294478528,7.543069999999999,0.596693,0.003225367567567568,.287,.478,8.8,9.2,34.70031545741325,90.2,109.1,92.6,103.6,42.6,15.7,13.8,20,51.42405063291139,68.25396825396825,87.44186046511628,10.284810126582279,25.9,.338,.404,.581,.365,6.486486486486488,12,17,7,4,54,8,29,325,65
Kaelen Culpepper,MIN,SS,23,173,149,674,0.5993975903614458,0.5948795180722891,0.9578313253012049,0.6419427710843373,0.7292168674698795,0.5976764199655766,0.6490963855421686,0.6731927710843374,0.5783132530120482,0.5301204819277109,0.30120481927710846,0.8343373493975904,0.6927710843373494,0.9066265060240963,0.6445783132530121,0.8674698795180723,0.6596385542168675,0.47289156626506024,0.7515060240963856,0.46,0.3207831325301205,0.8885542168674698,0.7319277108433735,0.7198795180722891,0.8674698795180723,0.11809815950920245,0.4447852760736196,5.9622,1.2700200000000001,0.007341156069364163,.248,.394,6.9,11.6,30.446927374301676,91.4,110.2,95.1,104.2,50.9,20.2,11.9,21.9,44.658753709198805,60.75949367088608,89.0625,9.792284866468842,14.7,.255,.347,.463,.278,4.624277456647398,8,20,7,0,38,8,35,301,66
Abimelec Ortiz,WSN,1B,24,129,107,481,0.8945783132530121,0.5873493975903614,0.9548192771084337,0.6921121987951806,0.825,0.623063683304647,0.8117469879518072,0.8674698795180723,0.8509036144578314,0.6400602409638554,0.4608433734939759,0.7695783132530121,0.8810240963855421,0.7108433734939759,0.7756024096385542,0.7560240963855421,0.8343373493975904,0.661144578313253,0.5075301204819277,0.5181818181818182,0.8042168674698795,0.6265060240963856,0.4879518072289157,0.21987951807228914,0.1536144578313253,0.9846625766871165,0.8865030674846626,2.6727,"'-0.738085","'-0.005721589147286822",.265,.458,12.9,13.2,27.898550724637683,90.7,112.5,92.2,105.4,45.9,16.3,14.2,26.8,45.73804573804574,69.7560975609756,83.2167832167832,12.266112266112266,24.4,.243,.372,.411,.277,8.527131782945737,11,17,9,0,26,3,21,220,59
James Tibbs III,LAD,OF,23,181,155,767,0.9397590361445783,0.891566265060241,0.9518072289156626,0.6413780120481928,0.8828313253012048,0.4107142857142857,0.8012048192771084,0.963855421686747,0.9819277108433735,0.6566265060240963,0.7349397590361446,0.9021084337349398,0.588855421686747,0.9518072289156626,0.8117469879518072,0.9774096385542169,0.3132530120481928,0.5783132530120482,0.15963855421686746,0.42,0.6731927710843374,0.07530120481927711,0.2620481927710843,0.6536144578313253,0.5963855421686747,0.5920245398773006,0.4539877300613497,5.6091,0.106359,0.0005876187845303868,.264,.538,19.8,13.3,23.115577889447238,92.3,109.4,96.1,106.1,57.5,27.1,13.2,34.3,44.067796610169495,66.66666666666666,72.35772357723576,15.123859191655805,14.8,.284,.381,.594,.344,11.602209944751381,21,24,13,1,44,11,49,338,116
Angel Genao,CLE,SS,21,37,35,129,0.4322289156626506,0.9006024096385542,0.9487951807228916,0.6711219879518073,0.655421686746988,0.7562392426850258,0.7801204819277109,0.7093373493975904,0.5993975903614458,0.08433734939759036,0.8554216867469879,0.7966867469879518,0.24096385542168675,0.9518072289156626,0.7349397590361446,0.9307228915662651,0.7349397590361446,0.012048192771084338,0.9819277108433735,0.4290909090909091,0.6731927710843374,0.9819277108433735,0.9819277108433735,0.9427710843373494,0.7680722891566265,0.8895705521472392,0.40797546012269936,8.160839999999999,0.141337,0.0038199189189189187,.261,.405,7.1,5.4,20.634920634920636,90.9,106.2,96.1,105,53.6,18.9,"'-4.1",10.5,44.1860465116279,66.66666666666666,95.45454545454544,4.651162790697675,14.3,.343,.378,.600,.407,5.405405405405406,2,2,4,1,12,1,7,57,6
Noelvi Marte,CIN,3B/OF,24,108,96,361,0.8554216867469879,0.8825301204819277,0.9457831325301205,0.6623682228915662,0.772289156626506,0.5473321858864028,0.9743975903614458,0.8765060240963856,0.6355421686746988,0.3192771084337349,0.21084337349397592,0.6942771084337349,0.9096385542168675,0.7620481927710844,0.911144578313253,0.7454819277108434,0.8117469879518072,0.1686746987951807,0.7078313253012049,0.6127272727272727,0.30873493975903615,0.8493975903614458,0.6234939759036144,0.9066265060240963,0.8885542168674698,0.8006134969325154,0.2684049079754601,7.57797,0.84725,0.007844907407407406,.305,.462,7.6,9.3,32.369942196531795,90.1,112.7,92.8,107.6,45.6,16.7,6.6,22.9,47.09141274238228,60.63829787234043,87.71929824561403,10.80332409972299,11.4,.365,.426,.521,.421,5.5555555555555545,6,10,4,1,35,3,18,170,39
Mikey Romero,BOS,2B/SS,22,149,131,523,0.5316265060240963,0.17319277108433734,0.9427710843373494,0.5850903614457832,0.7816265060240963,0.4905335628227195,0.7198795180722891,0.6731927710843374,0.4503012048192771,0.27259036144578314,0.5301204819277109,0.9533132530120482,0.9563253012048193,0.8659638554216867,0.911144578313253,0.875,0.7123493975903614,0.6746987951807228,0.47740963855421686,0.4545454545454545,0.4307228915662651,0.516566265060241,0.4939759036144578,0.09337349397590361,0.3493975903614458,0.22699386503067484,0.40797546012269936,1.45238,"'-0.278648","'-0.0018701208053691282",.254,.394,5.8,8.7,26.691729323308273,93.5,113.8,94.5,107.6,51,19.5,14.5,27.5,44.55066921606118,63.03501945525292,81.48148148148148,12.237093690248564,14.3,.229,.309,.305,.282,4.026845637583892,6,13,7,0,30,1,29,233,64
