Name,Org,Pos,Age,PA,AB,Pitches,xwOBA,wOBA,PS Score,Agg,Power,Discipline,xBA,xSLG,Barrels,BB%,Chase%,EV,Max EV,50th% EV,90th% EV,Hard Hit%,K%,L°,Whiff%,Swing%,Z-Swing%,Z-Contact%,SwStr%,Speed,wBsR/PA,Pull,Pull Air,Spd,wBsR,wBsR/PA,xBA,xSLG,Barrels,BB%,Chase%,EV,Max EV,50th% EV,90th% EV,Hard Hit%,K%,L°,Whiff%,Swing%,Z-Swing%,Z-Contact%,SwStr%,PullAir%,BA,OBP,SLG,BABIP,PA/Barrels,Barrels,BB,2B,3B,Hits,HR,K,Swings,Whiffs
Aidan Miller,PHI,SS,21,37,27,163,0.9655511811023622,0.9822834645669292,0.9803149606299213,0.6917445866141733,0.539763779527559,0.8132733408323959,0.7913385826771654,0.6919291338582677,0.7539370078740157,0.9960629921259843,0.9507874015748031,0.15649606299212598,0.3061023622047244,0.013779527559055118,0.8405511811023622,0.7903543307086615,0.7362204724409449,0.11811023622047244,0.9232283464566929,0.09742441209406497,0.25,0.8818897637795275,0.9547244094488189,0.8011811023622047,0.9960629921259843,0.9466403162055336,0.8992094861660079,6.70925,0.806932,0.02180897297297297,.254,.392,10,24.3,18.68131868131868,85.8,107.9,81.6,106.3,45,18.9,6.1,17.5,38.65030674846626,63.88888888888889,89.13043478260867,6.7484662576687136,25,.333,.514,.519,.421,5.405405405405406,2,9,2,0,9,1,7,63,11
Hao-Yu  Lee,DET,2B/3B,23,578,497,2319,0.7667322834645669,0.452755905511811,0.9783464566929134,0.6708907480314961,0.7659448818897637,0.5995500562429698,0.6210629921259843,0.7667322834645669,0.7096456692913385,0.5600393700787402,0.7057086614173228,0.7421259842519685,0.8326771653543307,0.8385826771653543,0.7490157480314961,0.7785433070866141,0.6328740157480315,0.4340551181102362,0.5954724409448819,0.4759238521836506,0.6181102362204725,0.468503937007874,0.6161417322834646,0.8858267716535433,0.6830708661417323,0.09090909090909091,0.18379446640316205,7.31003,0.8256049999999999,0.0014283823529411765,.239,.411,9.3,11.1,25.490196078431374,89.8,112.2,93.6,105.4,44.8,20.9,11.6,25.6,46.226821905993965,69.40639269406392,81.71052631578948,11.815437688658905,10.8,.243,.341,.406,.292,5.882352941176469,34,64,23,8,121,14,121,1072,274
Emmanuel Rodriguez,MIN,OF,23,212,163,877,0.8356299212598425,0.8238188976377953,0.9763779527559056,0.545275590551181,0.7852362204724409,0.40255905511811024,0.26673228346456695,0.5137795275590551,0.8671259842519685,0.9921259842519685,0.9862204724409449,0.7696850393700787,0.9291338582677166,0.8287401574803149,0.9783464566929134,0.8464566929133859,0.11614173228346457,0.1968503937007874,0.0639763779527559,0.07950727883538634,0.2637795275590551,0.06496062992125984,0.33070866141732286,0.6811023622047244,0.4881889763779528,0.31521739130434784,0.08102766798418973,6.03602,"'-0.224518","'-0.0010590471698113206",.207,.360,12.5,21.2,17.219917012448132,90.1,113.6,93.5,109,46.9,31.6,8,37.2,38.31242873432155,64.0506329113924,73.12252964426878,14.253135689851767,8,.258,.429,.423,.400,5.6603773584905674,12,45,7,1,42,6,67,336,125
Owen Caissie,MIA,OF,23,430,367,1798,0.9311023622047244,0.8868110236220472,0.9744094488188977,0.6833784448818898,0.9372047244094487,0.5299493813273342,0.7618110236220472,0.9419291338582677,0.968503937007874,0.7765748031496063,0.6200787401574803,0.9281496062992126,0.9035433070866141,0.9458661417322834,0.937007874015748,0.9438976377952756,0.2637795275590551,0.4498031496062992,0.4448818897637795,0.4703247480403136,0.6594488188976378,0.4744094488188976,0.4704724409448819,0.3956692913385827,0.12401574803149606,0.4901185770750988,0.532608695652174,4.49644,"'-1.8036900000000002","'-0.004194627906976744",.250,.498,17,13.3,26.639757820383448,92.1,113.3,95.7,107.9,53.4,27.9,12,28.3,46.16240266963293,70.1363073110285,81.80212014134275,13.070077864293658,17.2,.283,.384,.548,.361,9.767441860465118,42,57,27,2,104,22,120,830,235
Abimelec Ortiz,WSN,1B,24,164,138,639,0.9311023622047244,0.9084645669291339,0.9724409448818898,0.7688238188976377,0.875984251968504,0.6680258717660292,0.875,0.9281496062992126,0.7283464566929134,0.6909448818897638,0.36023622047244097,0.9124015748031497,0.8622047244094488,0.9458661417322834,0.8730314960629921,0.9488188976377953,0.5797244094488189,0.8070866141732284,0.7578740157480315,0.6774916013437849,0.844488188976378,0.7559055118110236,0.687007874015748,0.6318897637795275,0.13976377952755906,0.8616600790513834,0.8636363636363636,5.79782,"'-0.654172","'-0.003988853658536585",.263,.483,9.6,12.2,30.61797752808989,91.7,112.7,95.7,106.9,53.8,22,17.1,22.5,49.45226917057903,73.14487632508833,85.9903381642512,11.111111111111109,24,.283,.384,.565,.316,6.097560975609755,10,20,6,3,39,9,36,316,71
Justin Crawford,PHI,OF,22,487,426,1921,0.6761811023622047,0.7942913385826772,0.9704724409448819,0.6423474409448819,0.6003937007874016,0.6846175478065242,0.8937007874015748,0.5019685039370079,0.27263779527559057,0.6535433070866141,0.18110236220472442,0.7421259842519685,0.6811023622047244,0.7362204724409449,0.3927165354330709,0.8041338582677166,0.7677165354330708,0.025590551181102362,0.9045275590551181,0.7446808510638298,0.5767716535433071,0.8877952755905512,0.8208661417322834,0.8877952755905512,0.8622047244094488,0.10276679841897234,0.12845849802371542,7.35129,2.71008,0.005564845995893224,.266,.358,3.4,11.9,33.91812865497076,89.8,110.6,92.5,102.7,45.3,18.3,2.6,18.3,50.13014055179595,68.71508379888269,89.43089430894308,9.161894846434148,9.3,.326,.407,.448,.398,2.2587268993839835,11,58,23,4,139,7,89,963,176
Matt Shaw,CHC,3B,24,110,91,411,0.968503937007874,0.9301181102362205,0.968503937007874,0.7318528543307086,0.7135826771653544,0.7297525309336333,0.9862204724409449,0.9143700787401575,0.7578740157480315,0.8838582677165354,0.9173228346456693,0.5492125984251969,0.5885826771653543,0.4793307086614173,0.7608267716535433,0.7578740157480315,0.9793307086614174,0.16535433070866143,0.7923228346456693,0.10974244120940647,0.17913385826771652,0.484251968503937,0.8720472440944882,0.9133858267716536,0.8937007874015748,0.03557312252964427,0.1482213438735178,7.67847,0.720851,0.00655319090909091,.297,.475,10.1,15.5,20,88.6,109.9,90.4,105.5,44.3,10,7.4,21.7,39.17274939172749,62.365591397849464,81.89655172413794,8.51581508515815,10,.286,.409,.560,.270,7.2727272727272725,8,17,5,1,26,6,11,161,35
Marcelo Mayer,BOS,2B/3B,23,192,170,717,0.7854330708661418,0.6122047244094488,0.9665354330708661,0.6855930118110236,0.7968503937007874,0.6345613048368953,0.7450787401574803,0.8779527559055118,0.7440944881889764,0.4360236220472441,0.797244094488189,0.7421259842519685,0.7362204724409449,0.8494094488188977,0.8405511811023622,0.8838582677165354,0.6801181102362205,0.46948818897637795,0.6584645669291339,0.3393057110862262,0.4645669291338583,0.6948818897637795,0.7106299212598425,0.5433070866141733,0.5767716535433071,0.8517786561264822,0.5800395256916996,5.2314,"'-0.0314128","'-0.00016360833333333333",.249,.453,9.8,9.9,23.544973544973544,89.8,111.2,93.7,106.3,48.5,19.8,12.2,24.7,44.07252440725244,66.96165191740414,85.02202643171806,10.878661087866108,17.9,.271,.344,.471,.296,6.770833333333332,13,19,5,1,46,9,38,316,78
Chase DeLauter,CLE,DH/OF,24,148,126,594,0.8356299212598425,0.7539370078740157,0.9645669291338582,0.7309301181102362,0.8228346456692914,0.7883858267716536,0.6781496062992126,0.8248031496062992,0.8671259842519685,0.8179133858267716,0.9960629921259843,0.8799212598425197,0.6151574803149606,0.9399606299212598,0.8828740157480315,0.9271653543307087,0.8513779527559056,0.3159448818897638,0.8868110236220472,0.1690929451287794,0.4744094488188976,0.5728346456692913,0.9192913385826772,0.23228346456692914,0.2372047244094488,0.25790513833992096,0.2618577075098814,3.1717,"'-0.36374","'-0.0024577027027027033",.243,.432,12.5,14.2,16.065573770491802,91.2,110.1,95.5,107,51.9,15.5,10,18.9,40.90909090909091,67.1280276816609,82.98969072164951,7.744107744107745,12.5,.278,.378,.476,.303,8.783783783783784,13,21,8,1,35,5,23,243,46
Moisés Ballesteros,CHC,DH,22,505,444,1799,0.7509842519685039,0.7450787401574803,0.9625984251968503,0.6679379921259843,0.7196850393700787,0.7017716535433072,0.922244094488189,0.7618110236220472,0.49803149606299213,0.3887795275590551,0.265748031496063,0.7834645669291339,0.8405511811023622,0.7283464566929134,0.7145669291338582,0.7145669291338582,0.9104330708661418,0.2549212598425197,0.8533464566929134,0.8241881298992161,0.9311023622047244,0.8208661417322834,0.7421259842519685,0.24803149606299213,0.2578740157480315,0.14723320158102768,0.14031620553359683,3.30033,"'-1.19277","'-0.0023619207920792078",.272,.410,6.3,9.3,32.1285140562249,90.2,112.3,92.4,105.1,42.8,13.3,9,20.2,51.75097276264592,76.08966376089664,87.23404255319151,10.450250138966092,9.6,.315,.382,.473,.341,4.752475247524752,24,47,29,1,140,13,67,931,188
