Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Michael Prosecky","COL",0,0,0,5.93219,1,1,0,0,,4.43234,19,5,3,3,1,2,0,0,3,6.1034,4.32151,1.41233,1.45369,0.156719,0.110965,0.04575410485267639,0.281668,1.54916,0.30704,0.626778,,,5.47451,0.0088952,0.0153386,999,,,,,,,7.49929237365723,1.691950025410736,9.161684036254883,2.0670098944798245,,,,,,,,,,,,,,,,,,,"Michael Prosecky","sa3020526",687087
"Jesús García","STL",0,0,0,5.24981,1,1,0,0,,2.15986,8,2,1,1,0,1,0,0,1,4.59992,3.35717,1.37018,0.991498,0.137439,0.100307,0.03713159263134003,0.274884,1.28083,0.297489,0.571392,,,4.79379,0.00887817,0.0337105,999,,,,,,,9.782998514175414,4.529449773813796,9.799323320388794,4.537008028034483,,,,,,,,,,,,,,,,,,,"Jesus Garcia","sa3023846",821276
"Will Schomberg","MIA",0,0,0,5.19613,1,1,0,0,,4.07031,18,4,3,2,1,2,0,0,3,7.65807,4.67854,1.63685,1.3896,0.19566,0.119535,0.07612554728984833,0.253411,1.47665,0.289635,0.671216,,,5.15993,0.00886472,-0.0358243,999,,,,,,,7.42028779983521,1.8230280561622316,7.351545810699463,1.8061394154233037,,,,,,,,,,,,,,,,,,,"Will Schomberg","sa3023160",801696
"Jacob Edwards","CIN",0,0,0,5.42405,1,1,0,0,,2.59367,11,3,2,2,0,1,0,0,1,4.98661,3.74363,1.33203,1.26945,0.131537,0.0987493,0.03278738260269165,0.274082,1.4431,0.290289,0.630084,,,5.25471,0.00878054,-0.025995,999,,,,,,,10.393144845962524,4.007121942619078,11.96834111213684,4.614445675297622,,,,,,,,,,,,,,,,,,,"Jacob Edwards","sa3020491",806652
"Michael Knorr","HOU",0,0,0,4.83624,1,1,0,0,,2.2791,10,2,1,1,0,1,0,0,2,8.1933,4.48059,1.82862,1.40561,0.205986,0.112646,0.09334027767181396,0.24417,1.44243,0.281372,0.699077,,,4.99771,0.00878051,0.0403268,999,,,,,,,12.665341329574588,5.557167448161931,12.395500898361206,5.438769655199541,,,,,,,,,,,,,,,,,,,"Michael Knorr","sa3020872",681077
"Wifrailyn Jaquez","PIT",0,0,0,5.21708,1,1,0,0,,2.06894,8,2,1,1,0,1,0,0,1,4.93589,3.71142,1.32992,1.02464,0.141269,0.106223,0.03504514694213867,0.271019,1.34034,0.294788,0.598846,,,4.89305,0.00873059,0.0320508,999,,,,,,,9.110136032104496,4.4032924656063015,9.344686508178711,4.51666007509779,,,,,,,,,,,,,,,,,,,"Wifrailyn Jaquez","sa3024278",823868
"Aaron Shortridge","WSN",0,0,0,5.29257,1,1,0,0,,4.08796,18,4,3,2,1,1,0,0,3,5.83797,3.2185,1.81388,1.49232,0.149202,0.0822558,0.06694616377353668,0.271133,1.42642,0.288725,0.656569,,,5.21001,0.00871795,-0.0384195,999,,,,,,,10.550870513916012,2.5809651251874466,10.439777374267578,2.5537894036484508,,,,,,,,,,,,,,,,,,,"Aaron Shortridge","sa3006759",663336
"Shea Sprague","BOS",0,0,0,5.61457,1,1,0,0,,4.19781,18,5,3,3,1,2,0,0,2,5.08488,3.67517,1.38358,1.24351,0.132707,0.0959162,0.03679126501083374,0.286456,1.49694,0.306881,0.625673,,,5.17297,0.00866835,-0.0271813,999,,,,,,,3.7637705802917445,0.8966040430336364,5.989034175872803,1.42670551815035,,,,,,,,,,,,,,,,,,,"Shea Sprague","sa3042868",801873
"Trey Gregory-Alford","LAA",0,0,0,5.36094,1,1,0,0,,4.52569,19,4,3,3,1,2,0,0,3,5.01545,4.14722,1.20935,1.17028,0.134453,0.111178,0.02327527105808258,0.26867,1.43722,0.287207,0.62671,,,5.24234,0.00865703,-0.0161556,999,,,,,,,10.790103054046634,2.3841898148562777,9.628448009490967,2.127509585600511,,,,,,,,,,,,,,,,,,,"Trey Gregory-Alford","sa3067313",807281
"Gage Stanifer","TOR",0,0,0,5.15734,1,1,0,0,,3.81016,17,3,2,2,1,2,0,0,3,7.61111,5.36884,1.41765,1.2697,0.194532,0.137222,0.05731016397476196,0.247483,1.51096,0.285563,0.673857,,,5.23482,0.00862655,0.0331862,999,,,,,,,8.095172834396358,2.1246288975201297,6.050792455673218,1.5880684411821742,,,,,,,,,,,,,,,,,,,"Gage Stanifer","sa3021731",804948
"Jerming Rosario","LAD",0,0,0,4.99884,1,1,0,0,,2.78304,12,3,2,2,0,2,0,0,2,7.82349,5.27533,1.48303,1.28638,0.198047,0.133542,0.06450513005256653,0.243371,1.49813,0.281181,0.6868,,,5.18056,0.00857422,-0.0244318,999,,,,,,,10.794461059570313,3.8786648317606875,11.915176391601562,4.281360169747079,,,,,,,,,,,,,,,,,,,"Jerming Rosario","sa3008678",682645
"Justin Hagenman","NYM",0,0,0,4.30708,9,0,0,1,,9,37,9,5,4,1,2,,0,8,7.89631,2.15354,3.66667,1.25623,0.208038,0.0567376,0.15130023658275604,0.255696,1.24626,0.296928,0.702087,,,4.03244,0.00855761,-0.0203934,999,,,,,,,44.90000000000001,4.988888888888891,46,5.111111111111111,,,,,,,,,,,,,,,,,,,"Justin Hagenman","21546",663795
"Joe Rock","TBR",1,0,0,4.23556,16,0,0,1,,16,70,16,8,8,2,5,,1,14,7.75583,3.02763,2.56168,1.18192,0.199676,0.0779472,0.12172876298427582,0.249921,1.3192,0.289681,0.709196,,,4.26895,0.00851121,-0.00405182,999,,,,,,,66.20000000000002,4.137500000000001,68,4.25,,,,,,,,,,,,,,,,,,,"Joe Rock","30016",697812
"Jackson Nezuh","HOU",0,0,0,5.14833,1,1,0,0,,4.15115,18,4,3,2,1,2,0,0,3,6.61261,3.81978,1.73115,1.45801,0.172656,0.0997348,0.07292108237743378,0.256726,1.39528,0.28037,0.659397,,,5.19305,0.00845768,-0.0423028,999,,,,,,,8.018497562408443,1.9316335976807533,7.755741596221924,1.8683364215792866,,,,,,,,,,,,,,,,,,,"Jackson Nezuh","sa3023411",694545
"Samuel Gonzalez","ARI",0,0,0,4.93778,1,1,0,0,,3.0521,14,3,2,2,0,1,0,0,2,7.25154,3.9376,1.84162,1.33101,0.181842,0.0987405,0.08310168981552124,0.259532,1.46062,0.292861,0.687144,,,4.91256,0.00845103,-0.00550848,999,,,,,,,15.785541343688966,5.17202595083864,16.26050090789795,5.327643242523729,,,,,,,,,,,,,,,,,,,"Samuel Gonzalez","sa3025098",828416
"Andres Herrera","COL",0,0,0,6.3364,1,1,0,0,,3.97089,15,4,3,3,1,2,0,0,2,4.262,3.83223,1.11215,1.26023,0.12572,0.113043,0.012677527964115143,0.294089,1.395,0.30916,0.522143,,,5.42182,0.00840181,-0.0123168,999,,,,,,,4.684556341171261,1.1797257212999515,4.8544299602508545,1.2225054987651531,,,,,,,,,,,,,,,,,,,"Andres Herrera","sa3024456",820784
