"last_name, first_name","player_id","year","player_age","pa","home_run","k_percent","bb_percent","xba","xslg","woba","xwoba","xwobacon","avg_swing_speed","fast_swing_rate","attack_angle","ideal_angle_rate","vertical_swing_path","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_percent","meatball_swing_percent","iz_contact_percent","in_zone_percent","whiff_percent","swing_percent","pull_percent","groundballs_percent","flyballs_percent","linedrives_percent","popups_percent"
"Imanaga, Shota",684007,2026,32,211,5,28,6.2,".216",".358",".245",".273",".348","72.2",29.8,12.8,50.8,32.1,"18.5",36.7,9.4,7.2,38.8,"78.412010435","93.655192826",67.2,22.8,39.7,44.7,55.3,56.4,76.1,77.2,43.6,32.3,51.7,42.4,38.1,31.7,20.9,9.4
"Kay, Anthony",641743,2026,31,163,6,15.3,10.4,".296",".501",".373",".396",".421","72.4",26.4,10.7,60.1,32.2,"11.9",32.8,11.4,4.3,44,"78.123705179","95.246937321",58.7,10.9,31.2,31.5,68.5,57.1,67.6,89.1,42.9,19.4,43,53.4,42.2,19.8,28.4,9.5
"Leahy, Kyle",681517,2026,29,180,6,17.8,9.4,".296",".495",".372",".379",".422","72.5",32.2,9.6,56.7,31,"5.5",35.4,11,7.1,51.2,"80.463260156","95.97201811",65.5,8.6,26.4,52,48,53.8,74.2,91.4,46.2,22.5,44.5,37.8,49.6,20.5,26.8,3.1
"Soriano, José",667755,2026,27,215,5,28.4,9.3,".239",".391",".251",".309",".394","72",24.8,11.9,61.4,33.1,"9",34.3,9,6,35.1,"77.534041515","93.384878561",62.3,18.1,33.4,55.1,44.9,55.3,65.3,81.9,44.7,32.8,46.3,41,50,27.6,20.1,2.2
"Montero, Keider",672456,2026,25,155,3,18.7,5.2,".230",".391",".263",".291",".335","72.3",27.5,9.3,59.7,29.5,"21.5",35.6,10.3,5.1,43.2,"82.324635","94.583345259",66.3,13.3,22.9,38.3,61.7,47.1,63.3,86.7,52.9,19.2,45.9,35.6,31.4,31.4,23.7,13.6
"Sugano, Tomoyuki",608372,2026,36,173,9,13.9,6.9,".294",".579",".333",".398",".441","73.3",33.8,10.4,57.7,32.4,"11.9",33.6,15.3,4.4,46,"79.236761739","95.326904453",69.4,10.6,25.4,36.8,63.2,52.1,74.1,89.4,47.9,18,46.5,35.8,44.5,30.7,21.2,3.6
"Bibee, Tanner",676440,2026,27,194,7,23.2,9.3,".236",".388",".326",".310",".359","72.5",29.9,12.3,47,31.1,"14.1",29.2,7.7,7.7,46.2,"80.918211077","94.781563953",67.7,22.9,27.1,44.1,55.9,51.8,75.8,77.1,48.2,29.3,46.6,37.7,42.3,23.1,23.8,10.8
"Ober, Bailey",641927,2026,30,209,5,18.7,7.2,".220",".354",".270",".284",".309","72.8",29.7,15.2,63,30.6,"22.9",25.5,7.2,2,30.1,"75.288750789","92.774098947",66.1,16.9,28.9,31,69,51.7,77.5,83.1,48.3,21.4,46.9,42.5,35.3,28.1,19,17.6
"Holmes, Grant",656550,2026,30,177,7,19.2,11.9,".243",".423",".307",".334",".363","72.5",25.8,12.8,49.1,33.4,"12.5",29.5,8.2,4.9,44.3,"79.143359016","94.706784215",67.9,12.8,33.4,52.4,47.6,57.6,77.5,87.2,42.4,28.7,48,36.9,45.1,27,20.5,7.4
"Luzardo, Jesús",666200,2026,28,190,5,30,6.3,".236",".351",".334",".286",".374","70.9",21.4,11.6,47.2,33.1,"6.8",38.7,5.9,4.2,29.4,"74.908292712","92.54793188",59.2,17.3,37.2,53.7,46.3,56.8,69.8,82.7,43.2,33.8,46.7,43.7,51.3,18.5,26.1,4.2
