Name,Team,POS,ADP,PA,rPTS,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Zack Short ","DET","SS",999,13,3,100.55816346326,-102.93480354017505,-1.3766400769151512,"Zack Short","19562",670097
"Sandy León ","ATL","C",999,2,3.6,103.402233157286,-105.85526754664158,-1.453034389355786,"Sandy Leon","5273",506702
"Jhonny Pereda ","SEA","C",999,5,6.2,103.360151543421,-105.85526754664158,-1.4951160032206166,"Jhonny Pereda","19802",640902
"Corey Seager ","TEX","SS/DH",95.08999633789062,182,157.9,100.426091941835,-102.93480354017505,-1.5087115983404944,"Corey Seager","13624",608369
"CJ Kayfus ","CLE","1B/OF",999,25,21.7,102.59297135107,-105.19685214046616,-1.6038807893963307,"CJ Kayfus","33704",692216
"Ryan Waldschmidt ","ARI","OF",999,19,16,102.544415642458,-105.19685214046616,-1.6524364980081696,"Ryan Waldschmidt","35061",814439
"Agustín Ramírez ","MIA","C/DH",86.8499984741211,129,119.5,103.169165760992,-105.85526754664158,-1.6861017856493579,"Agustin Ramirez","26546",682663
"Evan Carter ","TEX","OF",280.4800109863281,156,141.7,102.471905788989,-105.19685214046616,-1.7249463514770977,"Evan Carter","27790",694497
"José Azocar ","ATL","OF",999,5,2.5,102.378031414494,-105.19685214046616,-1.8188207259724374,"Jose Azocar","18821",640492
"Shay Whitcomb ","HOU","2B/3B",999,17,7.6,100.802884233814,-103.65925471038116,-1.8563704765669122,"Shay Whitcomb","27789",694376
"Connor Wong ","BOS","C",999,57,52.6,102.984654066675,-105.85526754664158,-1.8706134799670195,"Connor Wong","19896",657136
"Eli White ","ATL","OF/DH",999,62,54.7,102.321706794574,-105.19685214046616,-1.8751453458917804,"Eli White","19346",642201
"Jeferson Quero ","MIL","C",999,2,2,102.977532560993,-105.85526754664158,-1.877734985648662,"Jeferson Quero","28272",691620
"Deyvison De Los Santos ","MIA","1B/DH",999,7,7.1,103.110898906942,-105.9944605830389,-1.8835616760970009,"Deyvison De Los Santos","27969",691277
"Ryan Mountcastle ","BAL","1B/DH",748.0900268554688,15,14.3,103.069464702684,-105.9944605830389,-1.9249958803544285,"Ryan Mountcastle","18373",663624
"Omar Martinez ","LAA","C",999,3,2.6,102.892721923656,-105.85526754664158,-1.9625456229857448,"Omar Martinez","25369",683079
"Aramis Garcia ","ARI","C",999,3,2.6,102.892721923656,-105.85526754664158,-1.9625456229857448,"Aramis Garcia","16925",605244
"Jake Mangum ","PIT","OF",672.4199829101562,82,72.7,102.218121283931,-105.19685214046616,-1.9787308565353112,"Jake Mangum","26202",663968
"Joey Bart ","PIT","C/DH",999,62,56.7,102.85258253994,-105.85526754664158,-2.002685006701135,"Joey Bart","21524",663698
"Alex Freeland ","LAD","2B/3B",999,112,94.2,100.602834718209,-103.65925471038116,-2.0564199921723314,"Alex Freeland","31665",690976
"Austin Riley ","ATL","3B",59.36000061035156,179,164.4,102.883658197115,-105.95043673902461,-2.0667785419095046,"Austin Riley","18360",663586
"Hao-Yu  Lee ","DET","2B/3B",999,51,37.9,100.547157503915,-103.65925471038116,-2.1120972064658314,"Hao-Yu  Lee","30080",701678
"Ryan Ward ","LAD","1B",999,6,5.2,102.850640309791,-105.9944605830389,-2.143820273247875,"Ryan Ward","27449",669899
"Victor Robles ","SEA","OF",727.5399780273438,13,8.6,102.044615550285,-105.19685214046616,-2.1522365901812024,"Victor Robles","18363",645302
"Carson Benge ","NYM","OF",999,137,122.6,102.039436278734,-105.19685214046616,-2.1574158617318067,"Carson Benge","35177",701807
"Nick Fortes ","TBR","C",999,108,98.3,102.667423439997,-105.85526754664158,-2.1878441066446386,"Nick Fortes","21538",663743
"Justin Foscue ","TEX","1B",999,11,9.6,102.798200144862,-105.9944605830389,-2.1962604381770716,"Justin Foscue","27501",679822
"Wyatt Langford ","TEX","OF",37.75,84,73.6,101.968868647452,-105.19685214046616,-2.2279834930143965,"Wyatt Langford","33333",694671
"César Prieto ","STL","2B/3B/DH",999,5,-5,100.387247369371,-103.65925471038116,-2.2720073410102466,"Cesar Prieto","30163",693409
"Joc Pederson ","TEX","1B/DH",999,118,107.5,102.668718259212,-105.9944605830389,-2.3257423238270944,"Joc Pederson","11899",592626
"Luis Robert Jr. ","NYM","OF",105.63999938964844,98,86.1,101.869815002733,-105.19685214046616,-2.3270371377331847,"Luis Robert Jr.","20043",673357
