Name,Org,Pos,Age,PA,AB,Pitches,xwOBA,wOBA,PS Score,Agg,Contact Quality,Max Velo,xwOBA,xBA,xSLG,Barrels,BB%,Chase%,EV,Hard Hit%,K%,L°,Whiff%,Swing%,Z-Swing%,Z-Contact%,SwStr%,xBA,xSLG,Barrels,BB%,Chase%,EV,Hard Hit%,K%,L°,Whiff%,BA,OBP,SLG,BABIP,PA/Barrels,Barrels,BB,2B,3B,Hits,HR,K,Swings,Whiffs,Swing%,Z-Swing%,Z-Contact%,SwStr%
Francis Pena,SDP,,24,68,61,255,.265,.322,0.9628252788104089,0.7607215252590122,0.904275092936803,0.5004055150040552,0.8559479553903345,0.6078066914498141,0.8615241635687733,0.9033457249070632,0.7379182156133829,0.7286245353159851,0.8810408921933085,0.9711895910780669,0.5139405204460966,0.9340148698884758,0.6328996282527881,0.8077858880778589,0.10408921933085502,0.6013011152416357,0.6914498141263941,.220,.274,2.2,8.8,29.45736434108527,85.5,22.2,23.5,4,29.1,.246,.324,.410,.302,1.5,1,6,2,1,15,2,16,127,37,0.5,0.719008,0.827586,0.128906
Grant Holman,ATH,,25,114,99,440,.237,.212,0.9609665427509294,0.6883082662751209,0.633364312267658,0.5004055150040552,0.9563197026022305,0.9414498141263941,0.9237918215613383,0.8596654275092936,0.483271375464684,0.6784386617100372,0.4340148698884758,0.3159851301115242,0.6942379182156134,0.5631970260223048,0.9089219330855018,0.5523114355231143,0.4275092936802974,0.6617100371747212,0.9386617100371747,.165,.244,2.9,11.4,28.87931034482759,88.1,38.6,26.3,12,35.9,.131,.237,.212,.174,1.8,2,13,5,0,13,1,30,206,74,0.465909,0.666667,0.820895,0.159091
Noah Cameron,KCR,,26,211,197,742,.253,.266,0.9591078066914498,0.765987944094204,0.7911245353159851,0.5004055150040552,0.9154275092936803,0.7063197026022305,0.7100371747211895,0.5864312267657993,0.9656133828996283,0.9628252788104089,0.9516728624535316,0.9163568773234201,0.8197026022304833,0.41356877323420077,0.7434944237918215,0.9278183292781832,0.25464684014869887,0.7602230483271375,0.862453531598513,.210,.316,5.1,5.2,34.23913043478261,83.8,26.5,29.4,14,30.9,.218,.261,.350,.282,3.3,7,11,6,1,43,6,62,391,121,0.524832,0.6871659999999999,0.809339,0.146309
Quinn Priester,MIL,,25,297,272,1145,.288,.286,0.9572490706319703,0.6156626652837952,0.39033457249070636,0.5004055150040552,0.7109665427509294,0.38382899628252787,0.4479553903345725,0.29182156133828996,0.9275092936802974,0.9052044609665427,0.4600371747211896,0.36152416356877326,0.6942379182156134,0.9024163568773235,0.8020446096654275,0.6451743714517437,0.4368029739776952,0.7323420074349443,0.9423791821561338,.239,.359,7.2,6.4,32.20064724919093,88,37.9,26.3,5,32.6,.239,.291,.364,.309,4.7,14,19,14,1,65,6,78,558,182,0.47727299999999995,0.6654800000000001,0.8128340000000001,0.16071400000000002
Jack Neely,CHC,,25,79,71,322,.293,.331,0.9553903345724907,0.49368311138044946,0.16612453531598514,0.5004055150040552,0.6719330855018587,0.5985130111524164,0.3159851301115242,0.14869888475836432,0.8364312267657993,0.8420074349442379,0.13197026022304834,0.06784386617100371,0.9553903345724907,0.047397769516728624,0.8076208178438662,0.9736415247364152,0.015799256505576207,0.9609665427509294,0.9907063197026023,.221,.379,9.1,7.6,31.13772455089821,89.9,45.5,35.4,22,32.7,.268,.329,.437,.405,5.1,4,6,4,1,19,2,28,165,54,0.558824,0.769231,0.74,0.21323499999999998
Carson Whisenhunt,SFG,,25,470,411,1852,.304,.363,0.9535315985130112,0.6103187991127914,0.6263940520446096,0.5004055150040552,0.5232342007434945,0.46654275092936803,0.5817843866171004,0.49256505576208176,0.491635687732342,0.845724907063197,0.7379182156133829,0.6933085501858736,0.7983271375464684,0.34851301115241634,0.8438661710037175,0.7761557177615572,0.28810408921933084,0.8940520446096655,0.9089219330855018,.233,.342,5.8,11.3,31.288343558282214,86.7,33.1,28.7,15,33.7,.280,.368,.465,.384,3.4,16,53,26,4,115,14,135,917,309,0.49515600000000004,0.6831229999999999,0.768067,0.155005
Luarbert Arias,FA,,24,284,251,1253,.263,.295,0.9516728624535316,0.6432339168327418,0.7281598513011152,0.5004055150040552,0.8633828996282528,0.8345724907063197,0.800185873605948,0.6849442379182156,0.7379182156133829,0.6171003717472119,0.5213754646840149,0.9061338289962825,0.6765799256505576,0.026022304832713755,0.550185873605948,0.7988645579886455,0.14684014869888476,0.8475836431226765,0.6301115241635687,.192,.294,4.5,8.8,28.39313572542902,87.7,27,26.1,24,27.8,.207,.296,.371,.259,2.8,8,25,13,2,52,8,74,627,174,0.49960200000000005,0.707812,0.788079,0.124105
Mason Englert,TBR,,25,170,153,666,.296,.288,0.949814126394052,0.5644699763122958,0.16542750929368027,0.5004055150040552,0.6319702602230484,0.7137546468401487,0.3420074349442379,0.09293680297397769,0.7927509293680297,0.9925650557620818,0.17193308550185873,0.05483271375464684,0.9535315985130112,0.5631970260223048,0.9637546468401487,0.9334955393349554,0.3104089219330855,0.9144981412639405,0.9888475836431226,.209,.375,10.6,8.2,38.66666666666666,89.5,47.1,35.3,12,38.5,.216,.294,.353,.318,5.3,9,14,6,0,33,5,60,353,136,0.527027,0.679054,0.7611939999999999,0.18918900000000002
David Festa,MIN,,25,253,223,1049,.296,.329,0.9479553903345725,0.5669482910582685,0.2774163568773234,0.5004055150040552,0.6319702602230484,0.6078066914498141,0.5715613382899628,0.2695167286245353,0.587360594795539,0.8085501858736059,0.1421933085501859,0.12639405204460966,0.9516728624535316,0.6802973977695167,0.9256505576208178,0.6828872668288727,0.45539033457249073,0.9349442379182156,0.9516728624535316,.220,.343,7.5,10.3,30.656934306569344,89.8,43.3,35.2,10,36.4,.242,.328,.426,.357,4,10,26,8,3,54,9,89,506,184,0.48239799999999994,0.663347,0.753754,0.163654
Cole Winn,TEX,,25,65,58,267,.255,.296,0.9460966542750929,0.7115424670186155,0.9161245353159851,0.5004055150040552,0.9061338289962825,0.6728624535315985,0.8773234200743495,0.9656133828996283,0.9368029739776952,0.1895910780669145,0.8438661710037175,0.9776951672862454,0.8615241635687733,0.23048327137546468,0.5762081784386617,0.3515815085158151,0.5613382899628253,0.13382899628252787,0.37732342007434944,.213,.269,0,6.2,23.357664233576642,85.9,20.5,30.8,17,28.2,.241,.308,.362,.324,0,0,4,1,0,14,2,20,117,33,0.44029799999999997,0.648,0.8888889999999999,0.104478
