Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Ranger Suarez","BOS",2,2,0,7,7,39,7.384615384615385,2.3076923076923075,0.6923076923076923,0.23300970873786409,0.76219512,0.361904761,0.078947368,92.02410714285715,2.769230769230769,3.48304859134881,3.234503288758107,3.6035155799908516,0.9647649526596069,"Ranger Suarez",17277,624133
"Taj Bradley","MIN",4,1,0,8,8,47,9.957446808510639,3.25531914893617,0.9574468085106383,0.2764227642276423,0.84313725,0.346456692,0.083333333,97.03467451407506,2.872340425531915,3.836164374726303,3.489276883957234,3.8999648803092066,0.9558712244033813,"Taj Bradley",22543,671737
"Justin Wrobleski","LAD",5,1,0,7,6,44.2,4.432836073282502,2.216418036641251,0.40298509757113654,0.22142857142857142,0.78703704,0.4,0.033898305,93.85034870651533,2.4179105854268195,4.081940526704769,3.576447441052638,4.850267593386052,0.9323023036122322,"Justin Wrobleski",31204,680736
"Chris Sale","ATL",6,2,0,8,8,49,10.285714285714286,2.204081632653061,1.1020408163265305,0.22321428571428573,0.88383838,0.449152542,0.133333333,95.58178955894648,2.204081632653061,3.051549822062276,3.453236936063183,3.1517420762959794,0.9186279773712158,"Chris Sale",10603,519242
"Janson Junk","MIA",2,3,0,8,8,44.1,6.699248312448152,2.0300752461964096,0.8120300984785639,0.2631578947368421,0.72072072,0.466165413,0.081632653,94.48350290697674,3.2481203939142556,3.8706506011055306,3.5348696014166645,3.914875046751517,0.9035906791687012,"Janson Junk",23301,676083
"Michael Wacha","KCR",4,2,0,8,8,51.1,7.363636546039248,2.9805195543492196,0.8766233983380057,0.21481481481481482,0.82608696,0.335766423,0.075757575,93.08663173874407,2.6298701950140173,3.6476171024740727,3.8465579191495167,4.386802791195372,0.8962798118591309,"Michael Wacha",14078,608379
"Clay Holmes","NYM",4,3,0,8,8,48.1,6.8896553536686165,2.9793104232080507,0.5586207043515095,0.2222222222222222,0.87336245,0.572463768,0.078947368,94.82640075683594,1.8620690145050316,3.73553678346811,3.43733265202054,3.7350874051934735,0.8936794996261597,"Clay Holmes",13649,605280
"Freddy Peralta","NYM",3,3,0,9,9,49.1,9.121621856731256,3.4662163055578774,0.9121621856731257,0.26865671641791045,0.78181818,0.411764705,0.106382978,94.17100232712765,3.1013514312886272,3.552531674209936,3.673865742749591,3.6948825621904566,0.890428364276886,"Freddy Peralta",18679,642547
"Casey Mize","DET",2,2,0,6,6,31,10.161290947778207,3.1935485835874364,0.5806451970158975,0.3037974683544304,0.79545455,0.3875,0.055555555,93.86280851910828,2.9032259850794877,3.4175668314551495,2.848233628545913,3.6411821127251014,0.8821948766708374,"Casey Mize",20492,663554
"Cade Cavalli","WSN",1,2,0,9,9,40.1,9.818182127713987,4.016529052246631,0.22314050290259063,0.37815126050420167,0.66572238,0.441666666,0.023255813,96.54334830465586,4.016529052246631,4.146128523197084,3.1806783281871756,4.356298382038427,0.8711256384849548,"Cade Cavalli",27473,676917
"Michael Soroka","ARI",5,2,0,8,8,43.1,9.761538747979348,2.4923077654415353,0.8307692551471785,0.3445378151260504,0.79044118,0.41322314,0.1,93.8642734375,3.5307693343755084,4.7565298961263505,3.1755289318152435,3.272487947407203,0.8622703552246094,"Michael Soroka",18383,647336
"Randy Vásquez","SDP",4,1,0,8,8,44.1,8.526316034024921,2.6390978200553326,0.8120300984785639,0.2916666666666667,0.80578512,0.409836065,0.081632653,94.84591145833333,3.0451128692946146,4.616012787417798,3.3995312516702376,3.77953669700509,0.8515563607215881,"Randy Vasquez",24719,681190
"Kris Bubic","KCR",3,1,0,8,8,46.1,9.129496653426374,4.467626021889502,0.5827338289421089,0.24778761061946902,0.72834646,0.434782608,0.063829787,92.11334486970684,3.496402973652654,3.957861935420535,3.4732046454424546,4.056733360716273,0.8506460785865784,"Kris Bubic",21455,663460
"Michael King","SDP",3,2,0,9,9,51.1,8.766233983380058,3.857142952687225,0.7012987186704046,0.24,0.80882353,0.5,0.086956521,93.91028390522875,2.6298701950140173,3.651790279070484,3.6907137594449826,3.9367876123303427,0.8452442288398743,"Michael King",19853,650633
"Gavin Williams","CLE",5,3,0,9,9,55.1,10.734940005726182,3.578313335242061,1.3012048491789312,0.2734375,0.76642336,0.459259259,0.16,96.55164755544355,3.740963941389427,4.342376229996491,3.8472620330020924,3.23735743809098,0.8238750100135803,"Gavin Williams",30122,668909
"Sean Burke","CHW",2,3,0,8,6,44,7.363636523238887,2.0454545897885796,1.0227272948942898,0.264,0.72727273,0.3984375,0.094339622,94.29290165791984,3.6818182616194437,3.766539498355934,3.833570903588918,4.048731438143595,0.8099418878555298,"Sean Burke",29878,680732
"Kyle Harrison","MIL",3,1,0,7,7,33.2,10.960396867536554,3.475247787267688,0.8019802586002356,0.3125,0.87939698,0.3625,0.103448275,94.82869746767241,2.405940775800707,3.448915311834305,3.254813023256726,3.3066782445150147,0.8050106167793274,"Kyle Harrison",27758,690986
"David Peterson","NYM",1,4,0,9,5,39.1,8.694915746142582,3.203390011736741,0.45762714453382014,0.344,0.56701031,0.524193548,0.06060606,92.37277243955292,5.491525734405842,4.403679520617317,3.055450700049221,3.573237628639866,0.7963835299015045,"David Peterson",20302,656849
"Yoshinobu Yamamoto","LAD",3,3,0,8,8,50,8.64,1.8,1.44,0.25,0.75376884,0.417910447,0.148148148,95.88323317307692,3.6,4.035716256311903,3.9262981605529785,3.3637402054667476,0.7735244035720825,"Yoshinobu Yamamoto",33825,808967
"Drew Rasmussen","TBR",3,1,0,8,8,42.2,9.070313040632787,1.4765625880099886,1.4765625880099886,0.22123893805309736,0.75342466,0.487179487,0.162790697,96.10546875,3.1640626885928325,2.9764828598352926,3.7156731968745613,2.998876451270199,0.7573429346084595,"Drew Rasmussen",25385,656876
"Michael McGreevy","STL",3,2,0,8,8,45.1,6.5514707719991,1.9852941733330607,0.9926470866665303,0.2,0.875,0.447154471,0.113636363,91.66473524305556,2.1838235906663668,5.056223454211311,3.746004060849187,3.6758947855208657,0.7374469041824341,"Michael McGreevy",29869,700241
"MacKenzie Gore","TEX",3,3,0,9,9,48,9.9375,4.125,1.125,0.26229508196721313,0.70342205,0.338582677,0.101694915,95.57077386811024,4.5,4.036395684002098,3.9604648272196457,4.062491845929375,0.7252684235572815,"MacKenzie Gore",22201,669022
"Jeffrey Springs","ATH",3,3,0,9,9,49,8.081632653061224,2.7551020408163267,1.2857142857142858,0.2753623188405797,0.74712644,0.321678321,0.104477611,91.58217973318713,4.224489795918367,3.583820900520572,4.208338976879509,4.272371800183033,0.7232553958892822,"Jeffrey Springs",17677,605488
"Logan Webb","SFG",2,4,0,8,8,48,7.875,2.8125,0.75,0.3333333333333333,0.63664596,0.56849315,0.129032258,92.73712409032534,5.0625,4.539124054847655,3.5646314938863126,3.38871913648521,0.7162277102470398,"Logan Webb",17995,657277
"Aaron Civale","ATH",4,1,0,8,8,41.2,7.12800043505862,2.808000171386729,0.8640000527343782,0.3153846153846154,0.88014981,0.295454545,0.066666666,91.91743109199439,2.5920001582031347,4.1502705589359685,3.778298201568606,4.553554308771509,0.7002941370010376,"Aaron Civale",19479,650644
"Rhett Lowder","CIN",3,3,0,8,8,38.1,6.33913064505969,4.22608709670646,0.46956523296738445,0.2857142857142857,0.5859375,0.429752066,0.044444444,93.19010836693549,5.400000179124921,4.9306954156657365,3.7845590526169786,4.755691742345659,0.6976103186607361,"Rhett Lowder",33876,695076
"Kyle Bradish","BAL",2,5,0,9,9,47,9.957446808510639,4.787234042553192,0.9574468085106383,0.34146341463414637,0.71212121,0.507936507,0.119047619,,4.212765957446808,3.91653300691661,3.9360853945955316,3.808673375020636,0.6556915640830994,"Kyle Bradish",24586,680694
"Emmet Sheehan","LAD",2,1,0,7,7,35.2,10.850468063387867,2.523364665904155,1.514018799542493,0.34782608695652173,0.73891626,0.428571428,0.181818181,94.44507905876495,4.794392865217895,4.136835480903288,3.8072327899707994,2.9203061296939965,0.6476491093635559,"Emmet Sheehan",29839,686218
"Logan Gilbert","SEA",2,3,0,9,9,50,9.36,1.8,1.44,0.3053435114503817,0.80321285,0.376811594,0.142857142,95.6340560913086,3.78,4.346705936527519,3.886298160552979,3.379941762685776,0.6456804275512695,"Logan Gilbert",22250,669302
"Dustin May","STL",3,4,0,8,8,42.2,6.750000402331376,2.3203126383014108,0.843750050291422,0.35658914728682173,0.66780822,0.431818181,0.085106382,97.20094774590164,4.851562789175676,4.615486691548884,3.809423202462497,4.138411418923874,0.6331356167793274,"Dustin May",19716,669160
"Emerson Hancock","SEA",3,1,0,8,8,47.2,9.440559944236059,1.6993007899624906,1.5104895910777694,0.2672413793103448,0.85051546,0.451612903,0.156862745,95.18091833726415,3.20979038104026,3.889649023189999,3.882521978190166,3.2039971613093994,0.6330735683441162,"Emerson Hancock",27470,676106
"Yusei Kikuchi","LAA",0,3,0,7,7,31,9.580645161290322,4.064516129032258,0.8709677419354839,0.3516483516483517,0.65502183,0.372340425,0.078947368,95.54063527960527,5.806451612903226,4.681061716189343,3.686943321843301,4.15118459145869,0.6315356492996216,"Yusei Kikuchi",20633,579328
"Andrew Abbott","CIN",2,2,0,9,9,46.1,6.410072118363199,3.884892192947393,0.9712230482368482,0.3103448275862069,0.73015873,0.432432432,0.092592592,92.62870346653006,4.467626021889502,4.728622961686196,4.379679490463513,4.614329185659074,0.6150503754615784,"Andrew Abbott",29911,671096
"Foster Griffin","WSN",4,1,0,8,8,46.2,8.100000441414993,2.8928573005053546,1.157142920202142,0.216,0.84134615,0.4375,0.125,91.60918137122844,2.1214286870372603,4.0849769172588974,4.070583927388097,3.8443382435479894,0.6107397675514221,"Foster Griffin",16432,656492
"Framber Valdez","DET",2,2,0,9,9,50,7.56,3.06,0.9,0.2987012987012987,0.68181818,0.528301886,0.108695652,94.51127624511719,4.32,4.233041462153338,4.046298160552979,4.038933976590633,0.6076177954673767,"Framber Valdez",17295,664285
"Jack Kochanowicz","LAA",2,2,0,8,8,45.1,5.955882519999182,4.56617659866604,0.3970588346666121,0.2535211267605634,0.66993464,0.584507042,0.055555555,96.36058704565603,3.9705883466661214,4.985062564611957,4.076886423071364,4.61912323601141,0.6057111620903015,"Jack Kochanowicz",27688,686799
"Walker Buehler","SDP",2,2,0,8,8,36.1,7.678899351308957,2.972477168248629,0.7431192920621572,0.3090909090909091,0.64102564,0.469026548,0.09090909,93.87849864130435,5.2018350444351,4.862676414079069,3.629233958670793,3.8319757466569766,0.6051729917526245,"Walker Buehler",19374,621111
"Joey Cantillo","CLE",3,1,0,9,9,45.1,8.139706110665548,3.9705883466661214,0.9926470866665303,0.2892561983471074,0.77777778,0.448,0.1,91.90509301686217,2.977941259999591,3.8499177694850713,4.121004071367654,4.236855836171303,0.5967286825180054,"Joey Cantillo",23335,676282
"Aaron Nola","PHI",2,3,0,8,8,42,9.428571428571429,3.2142857142857144,1.5,0.3418803418803419,0.72796935,0.411290322,0.159090909,92.3095071517413,5.142857142857143,4.299260998229129,4.249155303410122,3.5544341829561055,0.5027285218238831,"Aaron Nola",16149,605400
"J.T. Ginn","ATH",2,1,0,10,7,43.1,7.061538824160442,3.323077093722561,1.0384615917883002,0.2605042016806723,0.80434783,0.483606557,0.125,94.49636973505434,3.115384775364901,3.8412623088103897,4.213990525127166,4.010949527447477,0.5010991347953677,"J.T. Ginn",27889,669372
