Name,Org,Pos,Age,PA,AB,Pitches,xwOBA,wOBA,PS Score,Agg,Contact Quality,Max Velo,xwOBA,xBA,xSLG,Barrels,BB%,Chase%,EV,Hard Hit%,K%,L°,Whiff%,Swing%,Z-Swing%,Z-Contact%,SwStr%,xBA,xSLG,Barrels,BB%,Chase%,EV,Hard Hit%,K%,L°,Whiff%,BA,OBP,SLG,BABIP,PA/Barrels,Barrels,BB,2B,3B,Hits,HR,K,Swings,Whiffs,Swing%,Z-Swing%,Z-Contact%,SwStr%
Brandon Young,BAL,SP,27,58,54,220,.243,.143,0.9221105527638191,0.8086753578799892,0.8332286432160804,0.6701846965699209,0.9321608040201005,0.4748743718592965,0.8341708542713567,0.9547738693467337,0.9660804020100503,0.9748743718592965,0.7211055276381909,0.8228643216080402,0.8693467336683417,0.5665829145728644,0.9170854271356784,0.945910290237467,0.08793969849246232,0.9020100502512562,0.9773869346733668,.231,.275,0,5.2,38.135593220338976,87.2,30.6,32.8,11.3,37.3,.111,.155,.148,.167,0,0,3,2,0,6,0,19,118,44,53.63636363636364,71.56862745098039,72.60273972602741,20
Carson Whisenhunt,SFG,SP,25,155,133,664,.298,.293,0.9195979899497487,0.6437585906666136,0.6582914572864321,0.570580474934037,0.6407035175879398,0.6092964824120602,0.6243718592964824,0.36432160804020103,0.49748743718592964,0.7763819095477387,0.8542713567839196,0.7902010050251256,0.7135678391959799,0.4723618090452261,0.8115577889447236,0.8087071240105541,0.04396984924623116,0.8592964824120602,0.8969849246231156,.217,.326,7.7,11.6,30.517711171662125,85.7,31.9,27.7,13.1,32.9,.226,.323,.308,.319,4.516129032258063,7,18,6,1,30,1,43,328,108,49.39759036144578,72.72727272727273,74.07407407407408,16.265060240963855
Eric Cerantola,KCR,RP,26,56,49,240,.265,.291,0.9170854271356784,0.749428762104277,0.6755653266331658,0.6853562005277045,0.8680904522613065,0.7801507537688442,0.8128140703517588,0.7876884422110553,0.592964824120603,0.9195979899497487,0.4221105527638191,0.6796482412060302,0.9296482412060302,0.5376884422110553,0.9773869346733668,0.8522427440633246,0.7638190954773869,0.9711055276381909,0.992462311557789,.191,.280,3.4,10.7,34.117647058823536,89,34.5,35.7,11.8,42.5,.204,.304,.327,.321,1.7857142857142856,1,6,3,0,10,1,20,120,51,50,58.70967741935483,68.13186813186813,21.25
Andry Lara,WSN,SP,23,148,138,580,.314,.331,0.914572864321608,0.4594327176781003,0.14133165829145727,0.7631926121372031,0.507537688442211,0.42085427135678394,0.19974874371859297,0.06281407035175879,0.9359296482412061,0.7286432160804021,0.15201005025125627,0.1507537688442211,0.6721105527638191,0.3768844221105528,0.542713567839196,0.6728232189973615,0.29020100502512564,0.457286432160804,0.6482412060301508,.237,.435,13.5,6.1,29.73856209150327,91,46.9,27,14.7,28,.261,.311,.435,.326,8.783783783783784,13,9,6,0,36,6,40,275,77,47.41379310344828,67.15328467153284,82.06521739130434,13.275862068965516
Brody Hopkins,TBR,SP,24,153,119,611,.342,.346,0.9120603015075377,0.4763737332219585,0.3514447236180904,0.9689973614775724,0.29020100502512564,0.6796482412060302,0.5477386934673367,0.3743718592964824,0.12562814070351758,0.29396984924623115,0.15201005025125627,0.3316582914572864,0.5866834170854272,0.42085427135678394,0.9447236180904522,0.15831134564643803,0.8944723618090452,0.9120603015075377,0.8417085427135679,.209,.339,7.6,19.6,24.115755627009648,91,41.8,25.5,13.9,39,.218,.386,.353,.295,3.92156862745098,6,30,5,1,26,3,39,241,94,39.44353518821604,55.33333333333334,71.68674698795179,15.384615384615385
Ty Johnson,TBR,SP,24,30,27,133,.269,.251,0.9095477386934674,0.5691714398730681,0.4016959798994975,0.2559366754617414,0.8530150753768844,0.7311557788944724,0.7097989949748744,0.5804020100502513,0.6582914572864321,0.9874371859296482,0.16959798994974876,0.14698492462311558,0.885678391959799,0.36683417085427134,0.4849246231155779,0.9683377308707124,0.07035175879396985,0.26256281407035176,0.8128140703517588,.204,.309,5.9,10,40.57971014492754,90.8,47.1,33.3,14.9,27,.222,.300,.222,.353,3.333333333333333,1,3,0,0,6,0,10,74,20,55.639097744360896,71.875,84.78260869565217,15.037593984962404
Cade Povich,BAL,SP,26,66,62,254,.244,.339,0.907035175879397,0.5966886433044731,0.32506281407035176,0.19920844327176784,0.9271356783919598,0.8756281407035176,0.6180904522613065,0.20854271356783918,0.9359296482412061,0.9396984924623115,0.20351758793969849,0.2701005025125628,0.9183417085427136,0.24748743718592964,0.8165829145728644,0.7704485488126649,0.5791457286432161,0.8693467336683417,0.8894472361809045,.176,.327,10.3,6.1,34.920634920634924,90.4,43.6,34.8,17,33.1,.210,.258,.532,.235,6.0606060606060606,4,4,5,0,13,5,23,124,41,48.818897637795274,62.5,73.75,16.141732283464567
Yilber Díaz,ARI,RP,25,72,62,310,.253,.286,0.9045226130653267,0.7364894503299259,0.6677135678391959,0.9722955145118732,0.907035175879397,0.8077889447236181,0.8831658291457286,0.8530150753768844,0.5527638190954773,0.5728643216080402,0.621859296482412,0.3128140703517588,0.914572864321608,0.6557788944723618,0.7839195979899497,0.5488126649076517,0.47738693467336685,0.9057788944723618,0.7964824120603015,.187,.255,2.6,11.1,27.450980392156865,87.9,42.1,34.7,9.6,32.4,.226,.319,.290,.351,1.3888888888888888,1,8,1,0,14,1,25,142,46,45.806451612903224,63.69426751592356,72,14.838709677419354
Ricky Vanasco,DET,SP,27,59,54,275,.207,.202,0.9020100502512562,0.7823705157272732,0.7619346733668342,0.7816622691292876,0.9798994974874372,0.9359296482412061,0.9673366834170855,0.7537688442211056,0.8881909547738693,0.657035175879397,0.6520100502512562,0.6746231155778895,1,0.3065326633165829,0.7914572864321608,0.3113456464379947,0.9798994974874372,0.9510050251256281,0.7211055276381909,.160,.209,3.8,6.8,28.57142857142857,87.7,34.6,47.5,15.8,32.5,.148,.220,.204,.308,1.6949152542372878,1,4,3,0,8,0,28,117,38,42.54545454545455,50.282485875706215,69.66292134831461,13.818181818181818
Alimber Santa,HOU,RP,23,68,59,276,.250,.247,0.8994974874371859,0.6973300981601057,0.5913944723618091,0.7209762532981531,0.9170854271356784,0.8404522613065326,0.8994974874371859,0.6017587939698492,0.7324120603015075,0.44472361809045224,0.16959798994974876,0.6947236180904522,0.9221105527638191,0.678391959798995,0.7462311557788944,0.3047493403693932,0.7889447236180904,0.4082914572864322,0.6733668341708543,.183,.248,5.7,8.8,25.925925925925927,90.8,34.3,35.3,9.4,31.6,.169,.269,.254,.286,2.9411764705882346,2,6,3,1,10,0,24,117,37,42.39130434782609,58.15602836879432,82.92682926829268,13.405797101449275
Tyler Schweitzer,CHW,SP,25,83,79,304,.253,.250,0.8969849246231156,0.630881706244503,0.5722361809045226,0.570580474934037,0.907035175879397,0.5590452261306532,0.6984924623115578,0.46984924623115576,0.9761306532663316,1,0.44095477386934673,0.6796482412060302,0.5741206030150754,0.4045226130653266,0.29020100502512564,0.9261213720316622,0.9597989949748744,0.7211055276381909,0.5326633165829145,.223,.311,6.9,4.8,53.846153846153854,88.9,34.5,25.3,14.2,23.9,.203,.241,.316,.250,4.819277108433735,4,4,3,0,16,2,21,159,38,52.30263157894736,52.23367697594502,77.63157894736842,12.5
