Name,OttoneuID,"FG MajorLeagueID","FG MinorLeagueID","MLB Org",Position(s),"Avg Salary","Median Salary","Min Salary","Max Salary","Last 10",Roster%
"Luis Castillo",23732,15689,sa657487,SEA,SP,$12.59,$11.00,$5,$32,$8.90,81.119
"Andres Munoz",33259,20373,sa919548,SEA,RP,$12.35,$12.00,$9,$27,$16.50,100
"Eury Perez",38559,27768,sa3014807,MIA,SP,$12.20,$12.00,$4,$38,$21.20,100
"Zach Neto",42156,31347,sa3019855,LAA,SS,$12.12,$11.00,$5,$36,$19.80,100
"Willson Contreras",12398,11609,sa508176,BOS,1B,$12.01,$12.00,$1,$24,$9.80,100
"Carlos Correa",18160,14162,sa657850,HOU,SS/3B,$11.94,$12.00,$1,$29,$11.00,34.965
"Gleyber Torres",18487,16997,sa830372,DET,2B,$11.87,$12.00,$1,$23,$12.10,99.301
"Luis Robert Jr.",23780,20043,sa3003396,NYM,OF,$11.80,$11.00,$2,$26,$10.40,72.028
"Carlos Rodon",18359,16137,sa598286,"NYY AAA",SP,$11.76,$11.00,$3,$32,$9.20,100
"Brandon Lowe",31741,18882,sa874181,PIT,2B,$11.67,$11.00,$5,$20,$10.70,100
"Brendan Donovan",34619,24679,sa3006675,SEA,2B/SS/3B/OF,$11.57,$11.00,$6,$25,$16.70,100
"Nick Lodolo",36686,26378,sa917947,"CIN AAA",SP,$11.43,$12.00,$1,$17,$9.80,100
"Ozzie Albies",18397,16556,sa830219,ATL,2B,$11.43,$11.00,$1,$36,$10.70,100
"MacKenzie Gore",23810,22201,sa3005068,TEX,SP,$11.42,$11.00,$1,$19,$13.60,99.301
"Adley Rutschman",37257,26288,sa3011643,BAL,C,$11.34,$10.00,$4,$50,$13.80,100
"Roki Sasaki",46091,35323,sa3025686,LAD,SP,$11.18,$10.00,$3,$28,$7.40,60.839
"George Springer",18124,12856,sa526414,TOR,OF,$11.18,$11.00,$3,$26,$14.40,100
"Nathan Eovaldi",9335,9132,sa455169,TEX,SP,$11.12,$11.00,$5,$20,$10.90,97.203
"Logan Allen",38349,27589,sa3014444,"CLE AAA",SP,$11.00,$11.00,$11,$11,$5.30,0.699
"Shane McClanahan",33647,21483,sa3008547,TBR,SP,$10.79,$10.00,$2,$26,$14.10,100
"Nico Hoerner",33627,21479,sa3007867,CHC,2B,$10.76,$11.00,$3,$23,$10.20,100
"Matt McLain",40371,29695,sa3017154,CIN,2B,$10.63,$10.00,$2,$31,$9.20,95.804
"Matt Chapman",18378,16505,sa828672,SFG,3B,$10.44,$10.00,$1,$22,$9.70,98.601
"Jeremy Pena",35939,21636,sa876320,HOU,SS,$10.39,$10.00,$3,$23,$9.40,100
"Max Muncy",18255,13301,sa503373,LAD,3B,$10.34,$9.00,$1,$52,$13.00,100
"Nick Pivetta",19398,15454,sa737889,SDP,SP,$10.18,$10.00,$4,$19,$9.10,85.315
"Shota Imanaga",44526,33829,sa3023346,CHC,SP,$10.15,$9.00,$1,$28,$8.30,100
"Michael Busch",37841,26319,sa3011540,CHC,1B,$10.06,$10.00,$3,$25,$11.50,98.601
"Ranger Suarez",31194,17277,sa659551,BOS,SP,$9.83,$9.00,$3,$26,$12.10,100
"Tanner Bibee",40978,30134,sa3018170,CLE,SP,$9.82,$9.00,$1,$25,$6.40,95.804
"Dylan Crews",43950,33541,sa3022882,"WSN AAA",OF,$9.81,$9.50,$1,$20,$6.80,72.727
"Kerry Carpenter",37300,25961,sa3010689,DET,OF,$9.78,$10.00,$1,$19,$9.40,99.301
"Sandy Alcantara",20732,18684,sa828383,MIA,SP,$9.71,$9.00,$5,$21,$10.70,100
"Shane Baz",23794,22264,sa3004765,BAL,SP,$9.62,$9.00,$2,$18,$7.90,94.406
"Lawrence Butler",34788,22542,sa3006873,ATH,OF,$9.61,$9.00,$4,$23,$7.50,88.811
"Heliot Ramos",23834,22515,sa3004693,SFG,OF,$9.57,$9.00,$3,$24,$11.10,99.301
"Geraldo Perdomo",26198,22799,sa3003290,ARI,SS,$9.56,$9.00,$1,$33,$16.70,100
"Ryan Helsley",22651,18138,sa874172,BAL,RP,$9.56,$9.00,$4,$20,$11.00,99.301
"Jordan Westburg",38398,27815,sa3014499,BAL,2B/3B,$9.43,$9.00,$1,$20,$8.40,90.21
"Tyler Soderstrom",38388,27467,sa3014489,ATH,1B/OF,$9.43,$9.00,$3,$29,$14.30,100
"Ezequiel Tovar",35628,24064,sa3008239,COL,SS,$9.38,$10.00,$1,$17,$7.40,76.224
"Gerrit Cole",18116,13125,sa454389,"NYY A+",SP/RP,$9.24,$9.00,$2,$24,$9.40,100
"Raisel Iglesias",18422,17130,sa830702,ATL,RP,$9.22,$8.00,$1,$21,$10.30,100
"Ryan Pepiot",37649,26221,sa3011244,TBR,SP,$9.13,$9.00,$1,$15,$6.90,31.469
