Name,Org,Pos,Age,PA,AB,Pitches,xwOBA,wOBA,PS Score,Agg,Contact Quality,Max Velo,xwOBA,xBA,xSLG,Barrels,BB%,Chase%,EV,Hard Hit%,K%,L°,Whiff%,Swing%,Z-Swing%,Z-Contact%,SwStr%,xBA,xSLG,Barrels,BB%,Chase%,EV,Hard Hit%,K%,L°,Whiff%,BA,OBP,SLG,BABIP,PA/Barrels,Barrels,BB,2B,3B,Hits,HR,K,Swings,Whiffs,Swing%,Z-Swing%,Z-Contact%,SwStr%
Cale Wetwiska,DET,SP,21,28,25,122,.349,.464,0.8742138364779874,0.3737421383647799,0.06446540880503145,0.8905660377358491,0.17295597484276728,0.1289308176100629,0.06918238993710692,0.08176100628930817,0.610062893081761,0.18238993710691823,0.07861635220125786,0.02830188679245283,0.710691823899371,0.9433962264150944,0.5880503144654088,0.5773584905660377,0.20754716981132076,0.940251572327044,0.6635220125786163,.270,.449,12.5,10.7,19.642857142857142,91.6,56.2,32.1,"'-2.2",31.6,.360,.429,.640,.500,7.142857142857142,2,3,1,0,9,2,9,57,18,46.72131147540984,69.6969696969697,67.3913043478261,14.754098360655734
Nolan Perry,TOR,SP,22,78,70,324,.211,.214,0.8679245283018868,0.6529874213836478,0.4410377358490566,0.6283018867924528,0.9685534591194969,0.8742138364779874,0.8427672955974843,0.7264150943396226,0.8081761006289309,0.8490566037735849,0.09433962264150944,0.10062893081761007,0.9119496855345912,0.31446540880503143,0.7169811320754716,0.5283018867924528,0.6037735849056604,0.20754716981132076,0.7515723270440252,.142,.215,2.6,7.7,32.20338983050847,91.3,47.4,41,14.1,34.9,.114,.205,.257,.189,1.282051282051282,1,6,3,2,8,1,32,149,52,45.987654320987644,62.585034013605444,83.69565217391305,16.049382716049386
Ramiro Villanueva,MIN,SP,20,26,20,118,.261,.232,0.8616352201257862,0.5922431865828092,0.8514150943396226,0.7264150943396226,0.7515723270440252,0.9213836477987422,0.9433962264150944,0.8962264150943396,0.0880503144654088,0.22012578616352202,0.7138364779874213,0.8522012578616353,0.779874213836478,0.05660377358490566,0.15723270440251572,0.19245283018867929,0.6477987421383647,0.44339622641509435,0.1069182389937107,.129,.164,0,23.1,20.634920634920636,85.8,27.3,34.6,24,23.4,.100,.308,.100,.182,0,0,6,0,0,2,0,9,47,11,39.83050847457627,61.81818181818181,79.41176470588233,9.322033898305083
Jacob Odle,STL,SP,22,106,92,450,.266,.309,0.8553459119496856,0.6185010482180292,0.4056603773584906,0.9660377358490566,0.7264150943396226,0.5534591194968553,0.6635220125786163,0.6194968553459119,0.4716981132075472,0.9213836477987422,0.1792452830188679,0.16037735849056603,0.710691823899371,0.8616352201257862,0.5880503144654088,0.4150943396226415,0.9748427672955975,0.44339622641509435,0.5031446540880503,.196,.265,3.4,12.3,34.285714285714285,89.9,44.8,32.1,1.9,31.6,.228,.330,.337,.339,1.8867924528301887,2,13,4,0,21,2,34,196,62,43.55555555555554,49.45454545454545,79.41176470588233,13.777777777777779
Dylan Watts,TOR,SP,21,88,77,352,.320,.345,0.8490566037735849,0.48401467505241086,0.44496855345911945,0.8113207547169812,0.3333333333333333,0.22641509433962265,0.2641509433962264,0.6069182389937107,0.5440251572327044,0.789308176100629,0.32075471698113206,0.5880503144654088,0.5471698113207547,0.2138364779874214,0.5628930817610063,0.7339622641509433,0.17295597484276728,0.33962264150943394,0.7169811320754716,.246,.370,3.8,11.4,30.76923076923077,88.6,34,27.3,15.5,31.3,.247,.341,.429,.320,2.272727272727273,2,10,3,1,19,3,24,176,55,50,70.58823529411767,80.83333333333333,15.625
Charlie Christensen,DET,SP,22,54,47,233,.247,.240,0.8427672955974843,0.6598532494758911,0.5573899371069183,0.5377358490566038,0.8144654088050315,0.6226415094339622,0.710691823899371,0.8962264150943396,0.8176100628930818,0.8742138364779874,0.5534591194968553,0.06918238993710692,0.7987421383647799,0.7044025157232704,0.5188679245283019,0.8716981132075472,0.22012578616352202,0.5849056603773585,0.7861635220125787,.185,.258,0,7.4,33.33333333333333,86.9,50,35.2,6.1,30.4,.213,.278,.234,.333,0,0,4,1,0,10,0,19,125,38,53.6480686695279,69.46564885496184,76.92307692307693,16.30901287553648
Jose Chirinos,NYM,SP,21,72,63,258,.257,.277,0.8364779874213837,0.6218029350104821,0.8278301886792454,0.43018867924528303,0.7641509433962265,0.4716981132075472,0.6194968553459119,0.7735849056603774,0.8522012578616353,0.4968553459119497,0.949685534591195,0.9685534591194969,0.3584905660377358,0.27358490566037735,0.5031446540880503,0.6867924528301886,0.17295597484276728,0.5566037735849056,0.6540880503144654,.209,.277,2.1,6.9,25.409836065573767,82.1,18.8,23.6,14.8,29.9,.222,.292,.317,.277,1.3888888888888888,1,5,1,1,14,1,17,127,38,49.224806201550386,70.58823529411767,77.08333333333334,14.728682170542635
Stharlin Torres,CIN,SP,19,42,37,137,.247,.307,0.8301886792452831,0.48794549266247383,0.4834905660377358,0.18867924528301888,0.8144654088050315,0.4339622641509434,0.60062893081761,0.8962264150943396,0.8301886792452831,0.8018867924528302,0.05660377358490566,0.3805031446540881,0.36792452830188677,0.1949685534591195,0.2893081761006289,0.8113207547169812,0.3805031446540881,0.16352201257861634,0.5220125786163522,.212,.283,0,7.1,31.03448275862069,91.9,37.9,23.8,16,26.8,.243,.286,.432,.286,0,0,3,2,1,9,1,10,71,19,51.824817518248175,67.08860759493672,84.90566037735849,13.86861313868613
Kyle McCoy,CIN,RP,22,28,27,110,.229,.278,0.8238993710691824,0.7169287211740042,0.6800314465408805,0.4490566037735849,0.8930817610062893,0.22641509433962265,0.5314465408805031,0.8962264150943396,1,0.9937106918238994,0.8490566037735849,0.44339622641509435,0.710691823899371,0.9937106918238994,0.6163522012578616,0.7811320754716982,0.8364779874213837,0.2610062893081761,0.7924528301886793,.246,.298,0,0,41.860465116279066,84.4,36.8,32.1,"'-10.8",32.1,.259,.250,.407,.368,0,0,0,2,1,7,0,9,56,18,50.90909090909091,56.71641791044776,81.57894736842105,16.363636363636363
Sean Youngerman,PHI,SP,21,63,58,263,.290,.342,0.8176100628930818,0.4842243186582809,0.34905660377358494,0.4490566037735849,0.5566037735849056,0.5094339622641509,0.1761006289308176,0.20754716981132076,0.8930817610062893,0.3836477987421384,0.5094339622641509,0.5031446540880503,0.4559748427672956,0.46226415094339623,0.7044025157232704,0.4716981132075472,0.4056603773584906,0.8427672955974843,0.710691823899371,.202,.400,9.5,6.3,23.88059701492537,87.2,35.7,25.4,11.4,34.7,.224,.286,.500,.237,6.349206349206349,4,4,4,0,13,4,16,118,41,44.86692015209125,66.66666666666666,72.09302325581395,15.5893536121673
