Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Taylor Walls","TBR",31,111,0,14,8,6,0.117117117,0.234234234,0.054347826,0.287878787,0.206521739,0.311320754,0.260869565,0.27252082217414425,0.24753982907249814,68.3068436936469,0.45824871957302094,-3.662487152802548,2.378286361694336,0.2663441001629434,"Taylor Walls",22458,670764
"Matt Shaw","CHC",36,93,3,10,10,2,0.05376344,0.17204301,0.174418605,0.294117647,0.26744186,0.304347826,0.441860465,0.3272405286198077,0.29982919278352155,109.5111248286826,-0.6322008222341537,0.39176661204212904,-0.7773131132125854,0.26401711902031816,"Matt Shaw",33322,807713
"Jeff McNeil","ATH",39,140,1,10,12,1,0.071428571,0.128571428,0.088709677,0.317757009,0.282258064,0.345323741,0.370967741,0.3239951047965949,0.3129797736517817,101.06039373332013,-0.9865204095840454,-0.8126276517372767,-1.5929518342018127,0.2550267364686623,"Jeff McNeil",15362,643446
"Corey Seager","TEX",42,182,7,22,20,1,0.12087912,0.274725274,0.173076923,0.207920792,0.179487179,0.285714285,0.352564102,0.2856653587685691,0.33079011705186634,79.43043401870956,-0.7628736793994904,-5.1480072170127,1.259864866733551,0.25320338761863126,"Corey Seager",13624,608369
"Austin Riley","ATL",43,179,6,22,25,3,0.07821229,0.262569832,0.154320988,0.263636363,0.216049382,0.284916201,0.37037037,0.29435507545258077,0.3039613222942672,84.81185234255322,1.0285408645868301,-2.1186940188775627,-1.1250702142715454,0.2506199919776239,"Austin Riley",18360,663586
"Moisés Ballesteros","CHC",38,117,6,14,20,0,0.085470085,0.188034188,0.219047619,0.253164556,0.247619047,0.307692307,0.466666666,0.3378207046761472,0.3348254016321948,116.72275013929855,-0.18133407086133957,2.0836485666765023,-3.4279946573078632,0.243687684660986,"Moises Ballesteros",28820,694208
"David Fry","CLE",28,71,3,11,8,0,0.169014084,0.267605633,0.186440678,0.324324324,0.254237288,0.38028169,0.440677966,0.36577341301100597,0.2871346609933036,133.17504504418147,-0.4218766540288925,2.337151784544057,-2.4614387527108192,0.24213270576444446,"David Fry",24934,681807
"Brice Matthews","HOU",35,108,4,12,13,2,0.074074074,0.333333333,0.18367347,0.27118644,0.204081632,0.261682242,0.387755102,0.2866272152027237,0.2766902424464716,79.25507999413223,0.32399503514170647,-2.300355401062359,0.8659244701266289,0.24010673984757863,"Brice Matthews",33280,694728
"Adolis García","PHI",42,171,4,15,13,1,0.076023391,0.269005847,0.12987013,0.29245283,0.227272727,0.29239766,0.357142857,0.29208339201776606,0.31177906683313916,82.11338511150069,-0.19119144976139069,-3.731944039252565,0.6308916807174683,0.23918635258503304,"Adolis Garcia",19287,666969
"Joey Bart","PIT",21,62,2,9,6,0,0.032258064,0.338709677,0.120689655,0.361111111,0.258620689,0.29032258,0.379310344,0.29720095088404996,0.25645571370278636,85.32606564719259,-0.2025829255580902,-1.2557798348356823,1.5865740925073624,0.23652635844630715,"Joey Bart",21524,663698
"Amed Rosario","NYY",25,79,4,10,15,0,0.075949367,0.189873417,0.225352113,0.277777777,0.267605633,0.316455696,0.492957746,0.34933810143531124,0.34720878112010467,122.04776850570815,-0.07419250160455704,1.9660323749731279,-2.458643440157175,0.2329390305591741,"Amed Rosario",15518,642708
"Connor Wong","BOS",18,57,0,3,7,1,0.070175438,0.192982456,0.102040816,0.315789473,0.244897959,0.327272727,0.346938775,0.30925467339428986,0.2590637900612571,89.76529912771142,0.20564505457878113,-0.477694117036911,0.7152341902256012,0.2291143418100441,"Connor Wong",19896,657136
"MJ Melendez","NYM",22,59,2,5,6,0,0.101694915,0.355932203,0.215686275,0.392857142,0.25490196,0.344827586,0.470588235,0.36079436643370266,0.2825290087995858,133.9046473286174,-0.384702205657959,1.9309991907316109,-1.6885182559490204,0.2176377184054092,"MJ Melendez",22197,669004
"Jesús Sánchez","TOR",42,139,5,16,18,1,0.043165467,0.194244604,0.157480315,0.285714285,0.259842519,0.302158273,0.417322834,0.313978954501774,0.327868862428527,97.70829685831973,0.2014017403125763,-0.1717276576658125,-2.576065182685852,0.2162063097584087,"Jesus Sanchez",19913,660821
